ecli,references
ECLI:CE:ECHR:2012:0713JUD001635406,[]
ECLI:CE:ECHR:2012:0717JUD000015604,[]
ECLI:CE:ECHR:2012:0717JUD000291306,[]
ECLI:CE:ECHR:2012:0719JUD000049709,['ECLI:CE:ECHR:2011:0915JUD001708007']
ECLI:CE:ECHR:2012:0724JUD001899904,['ECLI:CE:ECHR:2010:0914JUD003718603']
ECLI:CE:ECHR:2012:0724JUD002947606,[]
ECLI:CE:ECHR:2012:0724JUD002999508,[]
ECLI:CE:ECHR:2012:0724JUD004152610,[]
ECLI:CE:ECHR:2012:0726JUD000076003,"['ECLI:CE:ECHR:2010:1014JUD001647403', 'ECLI:CE:ECHR:2011:0621JUD002965204']"
ECLI:CE:ECHR:2012:0731JUD000060407,['ECLI:CE:ECHR:2011:0308JUD001653006']
ECLI:CE:ECHR:2012:0731JUD001090405,['ECLI:CE:ECHR:2012:0112JUD002273704']
ECLI:CE:ECHR:2012:0731JUD002054607,[]
ECLI:CE:ECHR:2012:0731JUD003569211,['ECLI:CE:ECHR:2012:1002JUD000512605']
ECLI:CE:ECHR:2012:0731JUD004002003,[]
ECLI:CE:ECHR:2012:0731JUD004035805,['ECLI:CE:ECHR:2011:1011JUD003675506']
ECLI:CE:ECHR:2012:0731JUD004583505,['ECLI:CE:ECHR:2010:1207JUD001073405']
ECLI:CE:ECHR:2012:0828DEC007140710,[]
ECLI:CE:ECHR:2012:0828JUD001715311,[]
ECLI:CE:ECHR:2012:0828JUD005427010,"['ECLI:CE:ECHR:2011:1103JUD005781300', 'ECLI:CE:ECHR:2011:0526JUD002761704']"
ECLI:CE:ECHR:2012:0912JUD001059308,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2012:0918DEC001221407,[]
ECLI:CE:ECHR:2012:0918DEC001383707,"['ECLI:CE:ECHR:2012:0117JUD002458006', 'ECLI:CE:ECHR:2012:1106JUD003223804', 'ECLI:CE:ECHR:2012:0117JUD003676006']"
ECLI:CE:ECHR:2012:0918JUD000308407,[]
ECLI:CE:ECHR:2012:0918JUD002511909,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
